feature,correlation,abs_correlation,p_value,significant,n_samples,coverage_pct
predictediculos,0.3349582654541417,0.3349582654541417,0.0,True,297050,85.31727225989528
vital_readings_24h,0.27240354635734676,0.27240354635734676,0.0,True,338553,97.23756430030072
acutephysiologyscore,0.27059572331305454,0.27059572331305454,0.0,True,297050,85.31727225989528
apachescore,0.25915751159384853,0.25915751159384853,0.0,True,297050,85.31727225989528
predictedhospitallos,0.17875561222295228,0.17875561222295228,0.0,True,297050,85.31727225989528
max_hr_24h,0.15011730565544906,0.15011730565544906,0.0,True,337914,97.05403379373928
avg_hr_24h,0.1297872260144853,0.1297872260144853,0.0,True,337914,97.05403379373928
min_hr_24h,0.09276114940278216,0.09276114940278216,0.0,True,337914,97.05403379373928
lab_wbc_x_1000,0.07678546194930878,0.07678546194930878,0.0,True,289453,83.13529845966492
lab_hgb,-0.07027992456402259,0.07027992456402259,4.9166646e-317,True,292625,84.04634504309664
avg_sao2_24h,0.06625041317889754,0.06625041317889754,3.43e-321,True,333743,95.85605923526084
lab_creatinine,0.05695491270017989,0.05695491270017989,2.2259568385711072e-215,True,301981,86.73353036295384
avg_rr_24h,0.054627901080874605,0.054627901080874605,3.4763564092428172e-205,True,312608,89.78576618960223
